candidate_name,district,constituency,party,votes_total,vote_share_pct,position,gender,age,assets,liabilities,criminal_cases
,,Sriperumbudur,,,,16,,,,,
,,Sriperumbudur,,,,10,,,,,
,,Sriperumbudur,,,,13,,,,,
,,Sriperumbudur,,,,11,,,,,
,,Sriperumbudur,,,,5,,,,,
,,Sriperumbudur,,,,7,,,,,
,,Pallavaram,,,,2,,,,,
,,Pallavaram,,,,1,,,,,
,,Pallavaram,,,,8,,,,,
,,Pallavaram,,,,5,,,,,
,,Pallavaram,,,,13,,,,,
,,Pallavaram,,,,22,,,,,
,,Pallavaram,,,,9,,,,,
,,Pallavaram,,,,20,,,,,
,,Pallavaram,,,,12,,,,,
,,Pallavaram,,,,4,,,,,
,,Pallavaram,,,,7,,,,,
,,Pallavaram,,,,3,,,,,
,,Pallavaram,,,,14,,,,,
,,Pallavaram,,,,21,,,,,
,,Pallavaram,,,,16,,,,,
,,Pallavaram,,,,10,,,,,
,,Pallavaram,,,,11,,,,,
,,Pallavaram,,,,15,,,,,
,,Pallavaram,,,,23,,,,,
,,Pallavaram,,,,19,,,,,
,,Pallavaram,,,,17,,,,,
,,Pallavaram,,,,18,,,,,
,,Pallavaram,,,,6,,,,,
,,Tambaram,,,,1,,,,,
,,Tambaram,,,,2,,,,,
,,Tambaram,,,,8,,,,,
,,Tambaram,,,,7,,,,,
,,Tambaram,,,,3,,,,,
,,Tambaram,,,,5,,,,,
,,Tambaram,,,,12,,,,,
,,Tambaram,,,,4,,,,,
,,Tambaram,,,,17,,,,,
